"","X1","ID","weights","ss","healthcare","school","welfare","env","poor","sci","tax_mill","red_ineq","min_wage","job_gov","sex_orig","sex","white","black","asian","hisp","born","class","educ","income","age","black_favors","blm","black_deserve","black_try","slave","vote_duty","int_camp","int_pol","int_med","lib_con_spec","party_id","strong_weak","ind","seven_point","trad","true","bend","lib_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","pol_pca1_scaled"
"1198",1198,2018,0.8314,3,2,3,2,3,2,1,1,1,4,5,2,0,1,0,0,0,1,2,16,25,63,2,60,3,3,4,3,3,3,3,4,1,1,NA,1,5,3,5,1.16906569203817,0.251884377768792,0.874511281761722,-0.0970508813387167,1.16961238119427,0.887810457816822,-0.0981630148852001,0.251933668076226
"1199",1199,2019,0.9749,2,1,1,1,1,1,2,1,NA,1,1,1,1,1,0,0,0,1,2,12,24,45,5,0,5,5,1,NA,3,3,3,6,2,1,NA,7,2,2,4,0.147914838047804,0.251884377768792,-3.24862605311964,-1.78177682609376,0.147984007332762,-3.29802970372846,-1.80219471157107,0.251933668076226
"1200",1200,2020,0,2,NA,2,1,1,2,1,NA,NA,NA,2,1,1,1,0,0,0,1,NA,10,24,55,NA,NA,NA,NA,NA,3,3,NA,NA,5,3,NA,1,5,NA,NA,NA,0,0,-0.612950120307927,-0.556399973033946,-1.21394757586755e-16,-0.62227159132034,-0.562775917968582,6.95455484492392e-17
"1201",1201,2021,1.9162,2,2,3,2,3,2,3,1,1,3,5,2,0,1,0,0,0,1,NA,13,18,57,3,35,4,3,2,1,2,2,2,6,2,1,NA,7,2,2,4,0.147914838047804,-1.14048049220168,-0.0225384585709079,-0.0970508813387167,0.147984007332762,-0.0228812133584061,-0.0981630148852001,-1.14070366854387
"1202",1202,2022,1.9433,3,3,3,2,3,3,1,3,2,4,NA,2,0,0,1,0,0,1,NA,11,15,21,4,NA,2,1,1,3,3,2,3,NA,3,NA,2,4,3,3,4,0.629361639637829,-0.430691387858752,0.413470316657045,1.01794995611324,0.629655947465013,0.419758188122468,1.02961493307398,-0.430775668238126
"1203",1203,2023,0.3888,2,3,3,1,3,1,1,3,1,4,3,1,1,1,0,0,0,1,NA,10,14,58,3,70,2,2,2,3,3,4,3,4,3,NA,3,3,4,4,4,1.11080844122786,0.934460143396336,0.158517224819986,-0.753409343030646,1.11132788759726,0.160927883807026,-0.762042874154327,0.934643004390579
"1204",1204,2024,0.9438,3,1,2,1,3,1,1,3,NA,3,2,1,1,1,0,0,0,1,NA,13,24,25,3,31,3,2,3,1,3,3,2,2,2,1,NA,7,2,5,2,0.512847138017207,-0.457904726574139,-1.09652954398351,-1.78177682609376,0.513086960270998,-1.1132050743731,-1.80219471157107,-0.457994332229513
"1205",1205,2025,1.4229,3,2,3,1,2,3,3,3,1,4,4,2,0,1,0,0,0,1,NA,9,14,52,5,0,5,5,1,NA,2,3,3,NA,1,1,NA,1,1,1,1,-1.95264412074323,0.251884377768792,0.516514253290854,-0.0659588927214026,-1.95355723398726,0.524369170811924,-0.0667147343610921,0.251933668076226
"1206",1206,2026,0.5487,3,3,3,2,2,2,3,3,NA,4,3,2,0,0,1,0,0,1,NA,10,10,65,4,53,2,1,5,NA,3,4,4,2,1,1,NA,1,4,5,5,2.13195929521822,1.64424924773927,0.158517224819986,0.417132860192843,2.13295626145877,0.160927883807026,0.421912903823173,1.64457100469632
"1207",1207,2027,1.4727,2,2,2,1,2,2,1,1,2,3,3,1,1,1,0,0,0,1,NA,13,25,57,5,15,3,4,1,1,3,2,2,6,2,1,NA,7,3,2,5,0.68761889044814,-1.14048049220168,-0.738532515512644,-0.666775988641804,0.68794044106202,-0.749763787368202,-0.674416763611896,-1.14070366854387
"1208",1208,2028,0.6896,2,1,1,1,1,1,3,2,NA,3,2,1,1,1,0,0,0,1,NA,10,22,69,5,0,5,5,1,3,3,4,4,6,3,NA,1,5,2,2,3,-0.391789214352533,1.64424924773927,-1.09652954398351,-1.78177682609376,-0.391972426396496,-1.1132050743731,-1.80219471157107,1.64457100469632
"1209",1209,2029,1.51,2,3,3,2,3,3,2,NA,NA,NA,5,2,0,1,0,0,0,1,NA,10,9,22,NA,NA,NA,NA,NA,NA,2,3,2,NA,1,1,NA,1,NA,1,NA,-0.800600721521334,-0.457904726574139,0.461040965104677,1.01794995611324,-0.800975105729001,0.468052269694354,1.02961493307398,-0.457994332229513
"1210",1210,2030,0.8854,2,2,2,1,1,2,2,1,1,3,1,1,1,1,0,0,0,1,NA,14,23,54,4,40,4,3,2,3,3,3,2,5,3,NA,1,5,4,2,2,-0.93149326675287,-0.457904726574139,-1.45452657245438,-0.666775988641804,-0.931928860125755,-1.476646361378,-0.674416763611896,-0.457994332229513
"1211",1211,2031,0.9092,2,2,2,1,2,2,1,3,2,3,5,2,0,1,0,0,0,1,NA,14,27,55,3,45,4,3,3,NA,2,3,3,3,3,NA,3,3,2,3,2,-0.450046465162844,0.251884377768792,-0.0225384585709079,-0.666775988641804,-0.450256919993504,-0.0228812133584061,-0.674416763611896,0.251933668076226
"1212",1212,2032,0.7275,3,3,3,3,2,3,1,3,3,4,6,2,0,0,1,0,0,1,NA,12,13,46,1,NA,1,2,4,NA,3,2,2,4,3,NA,3,3,4,3,4,0.629361639637829,-1.14048049220168,1.23250831023259,1.58767506341633,0.629655947465013,1.25125174482172,1.60586868180067,-1.14070366854387
"1213",1213,2033,0,1,NA,2,1,2,1,1,NA,NA,NA,2,2,0,1,0,0,0,1,NA,14,23,46,NA,NA,NA,NA,NA,3,3,NA,NA,4,3,NA,2,4,NA,NA,NA,0,0,-0.612950120307927,-1.15721706895435,-1.21394757586755e-16,-0.62227159132034,-1.17047794721939,6.95455484492392e-17
"1214",1214,2034,0.8183,3,2,3,1,2,2,3,3,NA,3,NA,2,0,1,0,0,0,1,NA,7,8,73,5,14,3,3,3,NA,2,3,2,NA,2,2,NA,6,2,1,3,-0.873236015942559,-0.457904726574139,-0.483579423675585,-0.666775988641804,-0.873644366528747,-0.490933483052761,-0.674416763611896,-0.457994332229513
"1215",1215,2035,0.3701,2,1,2,1,1,1,2,2,NA,1,NA,1,1,1,0,0,0,1,NA,10,15,70,4,16,4,3,4,3,3,4,3,6,2,1,NA,7,3,3,2,-0.450046465162844,0.934460143396336,-2.27767890434084,-1.78177682609376,-0.450256919993504,-2.31231682540322,-1.80219471157107,0.934643004390579
"1216",1216,2036,2.2165,3,3,3,3,3,3,3,3,1,3,NA,1,1,1,0,0,0,1,NA,8,5,79,4,70,3,4,3,NA,2,2,2,4,1,1,NA,1,2,2,3,-0.391789214352533,-1.14048049220168,-0.483579423675585,1.58767506341633,-0.391972426396496,-0.490933483052761,1.60586868180067,-1.14070366854387
"1217",1217,2037,1.974,3,3,3,1,2,1,3,3,1,4,NA,1,1,1,0,0,0,1,1,9,21,54,5,91,3,2,4,NA,2,2,2,6,2,2,NA,6,3,1,4,-0.333531963542222,-1.14048049220168,0.413470316657045,-0.753409343030646,-0.333687932799489,0.419758188122468,-0.762042874154327,-1.14070366854387
"1218",1218,2038,0.3215,3,3,3,3,3,3,3,1,2,4,5,2,0,0,1,0,0,1,NA,10,4,33,3,80,2,1,5,3,3,2,2,NA,1,1,NA,1,2,3,3,0.0896575872374925,-1.14048049220168,0.874511281761722,1.58767506341633,0.0896995137357543,0.887810457816822,1.60586868180067,-1.14070366854387
"1219",1219,2039,0.7801,3,1,3,1,2,2,3,3,2,4,3,2,0,1,0,0,0,1,1,6,12,81,5,0,4,5,2,NA,1,1,1,NA,3,NA,2,4,1,1,3,-0.873236015942559,-2.53284536217216,0.158517224819986,-1.18095973017336,-0.873644366528747,0.160927883807026,-1.19449268232027,-2.53334100516396
"1220",1220,2040,1.1211,1,3,2,3,2,2,1,2,2,3,5,2,0,0,0,1,0,4,2,15,26,28,4,40,4,2,2,1,1,1,2,4,3,NA,2,4,3,3,2,-0.450046465162844,-1.82305625782923,-0.0225384585709079,0.98685796749593,-0.450256919993504,-0.0228812133584061,0.998166652549869,-1.82341300485822
"1221",1221,2041,0.3679,3,2,3,2,3,1,1,3,2,3,5,2,0,1,0,0,0,1,NA,13,9,32,3,50,3,3,2,NA,1,2,2,4,3,NA,3,3,3,2,4,0.147914838047804,-1.14048049220168,-0.0225384585709079,-0.697867977259118,0.147984007332762,-0.0228812133584061,-0.705865044136004,-1.14070366854387
"1222",1222,2042,0.8447,2,1,3,1,2,2,3,3,1,3,7,1,1,1,0,0,0,1,NA,16,27,38,5,9,5,3,2,NA,2,3,3,NA,2,2,NA,6,1,1,2,-1.4129400683429,0.251884377768792,0.693455598370828,-1.18095973017336,-1.41360080025801,0.70400136065139,-1.19449268232027,0.251933668076226
"1223",1223,2043,0.3231,3,2,2,2,3,2,3,3,2,4,NA,2,0,1,0,0,0,1,NA,13,NA,NA,4,50,3,3,4,1,3,2,3,4,3,NA,2,4,3,2,3,-0.391789214352533,-0.430691387858752,0.413470316657045,-0.0970508813387167,-0.391972426396496,0.419758188122468,-0.0981630148852001,-0.430775668238126
"1224",1224,2044,0.8872,3,2,3,1,1,2,2,3,NA,4,7,1,1,1,0,0,0,1,NA,11,5,61,4,50,2,2,4,3,3,1,1,4,5,NA,2,NA,3,2,2,-0.93149326675287,-2.53284536217216,1.59050533870346,-0.666775988641804,-0.931928860125755,1.61469303182662,-0.674416763611896,-2.53334100516396
