"","X1","ID","weights","consq","branches","crit","facts","cong_courts","vote_duty","vote_2020","vote_house","yrs_sen","sen_diff","vote_2012","vote_sen","reg","ss","school","welfare","highway","poor","healthcare","tax_mill","ubi","red_ineq","min_wage","chance_life","job_gov","fair","reduce_extra","state","wy","ny","cong_dist","census_region","county","zip","sex","race","hisp","born","class","fs","educ","income","age","black","white","amind","asian","pi","black_favors","blm","black_deserve","black_try","slave","vote_2012_choice","dem_feel","rep_feel","lib_con_spec","lib_con_binary","int_camp","int_pol","int_med","party_reg","party_id","strong_weak","ind","seven_point","partisanship","lib_pca1","rr_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","rr_pca1_scaled","pol_pca1_scaled"
"239",239,NA,0.469817652792819,5,3,4,4,1,2,NA,NA,4,2,1,NA,1,2,3,2,3,2,1,3,3,2,4,3,4,1,4,31,0,0,1,2,NA,NA,2,1,0,1,2,1,3,7,46,0,1,0,0,0,4,90,2,3,4,1,75,50,2,NA,2,2,1,1,1,2,NA,2,25,0.323657901142649,0.542879648136645,-1.86969766130516,0.232281452663322,-0.0437844755695834,0.323781278993005,0.236207011822937,-0.0438096954049769,0.543032685389327,-1.86996384782169
"240",240,NA,NA,5,5,5,5,3,3,NA,NA,6,0,0,NA,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,5,NA,NA,6,0,0,14,4,NA,NA,2,4,0,0,NA,NA,5,22,38,0,0,0,1,0,NA,NA,NA,NA,NA,NA,70,40,3,NA,2,NA,NA,1,1,2,NA,2,30,1.10393827257458,0,0,0.272400078546337,0.0491309207653262,1.10435909199692,0.277003642934095,0.0491592201504009,4.82707614439631e-17,1.10714582678795e-16
"241",241,NA,0.690280987462109,3,4,3,4,2,NA,1,1,8,2,0,1,1,3,3,3,3,3,1,2,3,2,4,5,7,1,4,33,0,0,1,1,NA,NA,2,6,0,1,1,1,1,15,63,0,0,0,0,0,3,100,2,1,5,NA,70,60,3,NA,3,4,4,3,3,NA,2,4,10,-1.21188501519125,-0.688494588510784,1.55009709908956,0.935482783648026,1.21871791328657,-1.21234698373125,0.951292453201516,1.21941989417739,-0.688688674475645,1.55031778447395
"242",242,NA,1.11069702984119,4,4,4,5,3,2,1,1,2,4,1,NA,1,2,3,2,2,2,3,3,1,3,4,4,3,1,7,32,0,0,1,4,NA,NA,1,1,0,1,3,0,6,3,29,0,1,0,0,0,3,81,2,4,5,1,77,40,2,NA,1,3,1,1,1,1,NA,1,37,0.185715313275134,0.573490303404064,-1.19590570507597,0.531169605147656,-0.0437844755695834,0.185786107641807,0.540146377442165,-0.0438096954049769,0.573651969771139,-1.19607596467479
"243",243,NA,NA,4,4,1,4,3,3,NA,NA,4,2,1,NA,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,2,NA,NA,35,0,0,3,4,NA,NA,1,3,1,1,NA,NA,2,10,41,0,0,1,0,0,NA,NA,NA,NA,NA,1,50,50,NA,2,2,NA,NA,1,1,2,NA,2,0,-1.19637106268677,0,0,-0.430801252438367,0.0491309207653262,-1.19682711733404,-0.438081798444484,0.0491592201504009,4.82707614439631e-17,1.10714582678795e-16
"244",244,NA,1.01027799619206,5,5,5,5,1,NA,1,1,4,2,1,NA,1,3,3,2,1,3,NA,3,2,1,4,5,2,5,3,24,0,0,1,3,NA,NA,1,1,0,1,3,0,6,NA,54,0,1,0,0,0,5,15,4,3,5,5,15,15,4,2,2,3,2,3,3,NA,2,4,0,1.10393827257458,0.932930623507509,-0.505168755763859,-0.769808030805716,0.63392441702595,1.10435909199692,-0.782817795174871,0.634289557163895,0.933193615756443,-0.50524067600751
"245",245,NA,0.616031320762672,5,3,3,4,2,NA,1,1,6,0,1,NA,1,2,1,1,3,2,NA,2,2,1,3,2,1,4,1,6,0,0,49,4,NA,NA,2,1,0,1,3,0,6,14,79,0,1,0,0,0,5,0,5,3,1,2,0,70,7,NA,3,4,4,2,2,1,NA,7,NA,0.0227548988776589,0.932930623507509,1.55009709908956,-1.53426826141969,-1.83370275292851,0.0227635730070367,-1.56019741227467,-1.83475896477044,0.933193615756443,1.55031778447395
"246",246,NA,1.95696354826266,5,3,5,3,2,1,NA,NA,4,2,0,NA,0,3,3,1,3,1,1,2,3,3,4,5,NA,2,6,47,0,0,5,3,NA,NA,2,1,0,1,2,1,3,1,31,0,1,0,0,0,3,0,3,3,3,NA,50,50,4,2,2,3,2,1,1,1,NA,1,0,0.145183534240702,0.152828672765782,-0.505168755763859,0.727570413924454,-1.30628686442574,0.145238877961026,0.73986636209379,-1.30703928498734,0.152871755022211,-0.50524067600751
"247",247,NA,0.687384321471023,5,5,1,5,1,NA,1,1,6,0,1,NA,1,3,2,1,3,2,2,3,2,2,2,2,2,5,4,4,0,0,4,4,NA,NA,1,1,0,1,3,1,4,NA,50,0,1,0,0,0,5,0,3,3,1,2,0,90,6,NA,3,3,2,2,2,1,NA,7,NA,-0.0996737364853837,0.932930623507509,-0.505168755763859,-1.29663900856462,-1.23114036237936,-0.0997117319469529,-1.31855222237667,-1.23184949859446,0.933193615756443,-0.50524067600751
"248",248,NA,0.426042858045799,5,5,5,5,3,NA,1,1,6,0,1,NA,1,2,3,3,2,3,3,3,3,2,4,5,5,1,4,36,0,1,12,1,NA,NA,2,1,0,1,3,0,6,11,64,0,1,0,0,0,1,100,1,1,5,1,95,0,2,NA,3,4,4,1,1,1,NA,1,95,1.10393827257458,-1.46859653925251,1.55009709908956,0.46668189632489,1.21871791328657,1.10435909199692,0.474568825615796,1.21941989417739,-1.46901053520988,1.55031778447395
